LOC	IDX	LEN	HOST	PORT	STRIP
left	0	6	10.0.0.30	7890	1
left	1	8.61	10.0.0.30	7890	2
left	2	11.27	10.0.0.30	7890	3
left	3	13.96	10.0.0.30	7890	4
left	4	16.7	10.0.0.30	7890	5
left	5	19.48	10.0.0.30	7890	6
left	6	22.32	10.0.0.30	7890	7
left	7	25.22	10.0.0.30	7890	8
left	8	28.19	10.0.0.30	7890	9
left	9	31.23	10.0.0.30	7890	10
left	10	34.36	10.0.0.30	7890	11
left	11	37.59	10.0.0.30	7890	12
left	12	40.94	10.0.0.30	7890	13
left	13	44.43	10.0.0.30	7890	14
left	14	48.09	10.0.0.30	7890	15
left	15	51.95	10.0.0.30	7890	16
left	16	56.06	10.0.0.30	7890	17
left	17	60.47	10.0.0.30	7890	18
left	18	65.2	10.0.0.30	7890	19
left	19	70.19	10.0.0.30	7890	20
left	20	75.17	10.0.0.30	7890	21
left	21	79.72	10.0.0.30	7890	22
left	22	86.99	10.0.0.30	7890	23
left	23	89.9	10.0.0.30	7890	24
left	24	92.49	10.0.0.30	7890	25
left	25	94.85	10.0.0.30	7890	26
left	26	97.03	10.0.0.30	7890	27
left	27	99.08	10.0.0.30	7890	28
left	28	101.03	10.0.0.30	7890	29
left	29	102.89	10.0.0.30	7890	30
left	30	104.68	10.0.0.30	7890	31
left	31	106.28	10.0.0.30	7890	32
left	32	105.73	10.0.0.30	7890	33
left	33	90.35	10.0.0.30	7890	34
left	34	79.42	10.0.0.30	7890	35
left	35	71.52	10.0.0.30	7890	36
left	36	65.15	10.0.0.30	7890	37
left	37	59.72	10.0.0.30	7890	38
left	38	54.97	10.0.0.30	7890	39
left	39	50.72	10.0.0.30	7890	40
left	40	46.85	10.0.0.30	7890	41
left	41	43.31	10.0.0.30	7890	42
left	42	40.02	10.0.0.30	7890	43
left	43	36.96	10.0.0.30	7890	44
left	44	34.08	10.0.0.30	7890	45
left	45	31.35	10.0.0.30	7890	46
left	46	28.76	10.0.0.30	7890	47
left	47	26.29	10.0.0.30	7890	48
left	48	23.92	10.0.0.31	7890	1
left	49	21.62	10.0.0.31	7890	2
left	50	19.4	10.0.0.31	7890	3
left	51	17.22	10.0.0.31	7890	4
left	52	15.07	10.0.0.31	7890	5
left	53	12.94	10.0.0.31	7890	6
left	54	10.79	10.0.0.31	7890	7
left	55	8.59	10.0.0.31	7890	8
front	0	24.43	10.0.0.31	7890	9
front	1	38.89	10.0.0.31	7890	10
front	2	47.76	10.0.0.31	7890	11
front	3	53.96	10.0.0.31	7890	12
front	4	65.82	10.0.0.31	7890	13
front	5	66.63	10.0.0.31	7890	14
front	6	67	10.0.0.31	7890	15
front	7	67	10.0.0.31	7890	16
front	8	57.76	10.0.0.31	7890	17
front	9	56.97	10.0.0.31	7890	18
front	10	55.3	10.0.0.31	7890	19
front	11	53.23	10.0.0.31	7890	20
front	12	55.3	10.0.0.31	7890	21
front	13	56.97	10.0.0.31	7890	22
front	14	57.76	10.0.0.31	7890	23
front	15	67	10.0.0.31	7890	24
front	16	67	10.0.0.31	7890	25
front	17	66.63	10.0.0.31	7890	26
front	18	65.82	10.0.0.31	7890	27
front	19	53.96	10.0.0.31	7890	28
front	20	47.76	10.0.0.31	7890	29
front	21	38.89	10.0.0.31	7890	30
front	22	24.43	10.0.0.31	7890	31
right	0	6	10.0.0.32	7890	1
right	1	8.61	10.0.0.32	7890	2
right	2	11.27	10.0.0.32	7890	3
right	3	13.96	10.0.0.32	7890	4
right	4	16.7	10.0.0.32	7890	5
right	5	19.48	10.0.0.32	7890	6
right	6	22.32	10.0.0.32	7890	7
right	7	25.22	10.0.0.32	7890	8
right	8	28.19	10.0.0.32	7890	9
right	9	31.23	10.0.0.32	7890	10
right	10	34.36	10.0.0.32	7890	11
right	11	37.59	10.0.0.32	7890	12
right	12	40.94	10.0.0.32	7890	13
right	13	44.43	10.0.0.32	7890	14
right	14	48.09	10.0.0.32	7890	15
right	15	51.95	10.0.0.32	7890	16
right	16	56.06	10.0.0.32	7890	17
right	17	60.47	10.0.0.32	7890	18
right	18	65.2	10.0.0.32	7890	19
right	19	70.19	10.0.0.32	7890	20
right	20	75.17	10.0.0.32	7890	21
right	21	79.72	10.0.0.32	7890	22
right	22	86.99	10.0.0.32	7890	23
right	23	89.9	10.0.0.32	7890	24
right	24	92.49	10.0.0.32	7890	25
right	25	94.85	10.0.0.32	7890	26
right	26	97.03	10.0.0.32	7890	27
right	27	99.08	10.0.0.32	7890	28
right	28	101.03	10.0.0.32	7890	29
right	29	102.89	10.0.0.32	7890	30
right	30	104.68	10.0.0.32	7890	31
right	31	106.28	10.0.0.32	7890	32
right	32	105.73	10.0.0.32	7890	33
right	33	90.35	10.0.0.32	7890	34
right	34	79.42	10.0.0.32	7890	35
right	35	71.52	10.0.0.32	7890	36
right	36	65.15	10.0.0.32	7890	37
right	37	59.72	10.0.0.32	7890	38
right	38	54.97	10.0.0.32	7890	39
right	39	50.72	10.0.0.32	7890	40
right	40	46.85	10.0.0.32	7890	41
right	41	43.31	10.0.0.32	7890	42
right	42	40.02	10.0.0.32	7890	43
right	43	36.96	10.0.0.32	7890	44
right	44	34.08	10.0.0.32	7890	45
right	45	31.35	10.0.0.32	7890	46
right	46	28.76	10.0.0.32	7890	47
right	47	26.29	10.0.0.32	7890	48
right	48	23.92	10.0.0.33	7890	1
right	49	21.62	10.0.0.33	7890	2
right	50	19.4	10.0.0.33	7890	3
right	51	17.22	10.0.0.33	7890	4
right	52	15.07	10.0.0.33	7890	5
right	53	12.94	10.0.0.33	7890	6
right	54	10.79	10.0.0.33	7890	7
right	55	8.59	10.0.0.33	7890	8
back	0	59.07	10.0.0.33	7890	9
back	1	72.71	10.0.0.33	7890	10
back	2	72.71	10.0.0.33	7890	11
back	3	72.71	10.0.0.33	7890	12
back	4	63.78	10.0.0.33	7890	13
back	5	63.78	10.0.0.33	7890	14
back	6	63.78	10.0.0.33	7890	15
back	7	63.78	10.0.0.33	7890	16
back	8	63.78	10.0.0.33	7890	17
back	9	63.78	10.0.0.33	7890	18
back	10	63.78	10.0.0.33	7890	19
back	11	72.71	10.0.0.33	7890	20
back	12	72.71	10.0.0.33	7890	21
back	13	72.71	10.0.0.33	7890	22
back	14	59.07	10.0.0.33	7890	23
